T;Heated Black Aluminum (TH1-0);Blue Aluminum (TH1-1);Polished Aluminum (TH1-2);Red Aluminum (TH0-3);Heated Carbon (TH2-0);Black Aluminum (TH2-1);Carbon (TH2-2);Titanium (TH2-3);Photodiode
32;-4.6;-16.2;-3.7;-16.8;-17.2;-14.2;-20.1;-7.7;0.5
33;-4.5;-16.2;-3.7;-16.8;-17.1;-14.3;-20.1;-7.7;0.5
34;-4.5;-16.2;-3.7;-16.8;-17.1;-14.3;-20.1;-7.7;0.5
35;-4.4;-16.2;-3.6;-16.8;-17.1;-14.2;-20.1;-7.7;0.5
36;-4.4;-16.2;-3.6;-16.8;-17.1;-14.2;-20.1;-7.7;0.5
37;-4.4;-16.2;-3.6;-16.8;-17.1;-14.2;-20.1;-7.7;0.5
38;-4.3;-16.2;-3.7;-16.8;-17.1;-14.3;-20.1;-7.7;0.5
39;-4;-16.2;-3.6;-16.7;-16.9;-14.2;-20.1;-7.7;0.5
40;-3.8;-16.2;-3.7;-16.8;-16.7;-14.2;-20.1;-7.7;0.5
41;-3.5;-16.3;-3.7;-16.8;-16.4;-14.2;-20.1;-7.7;0.5
42;-3.2;-16.3;-3.6;-16.8;-16.2;-14.2;-20.1;-7.7;0.5
43;-2.9;-16.2;-3.7;-16.8;-16;-14.2;-20.1;-7.7;0.5
44;-2.6;-16.2;-3.7;-16.8;-15.8;-14.2;-20.1;-7.7;0.5
45;-2.3;-16.2;-3.7;-16.8;-15.5;-14.2;-20.1;-7.7;0.5
46;-2;-16.2;-3.6;-16.8;-15.3;-14.2;-20.1;-7.7;0.5
47;-1.7;-16.2;-3.6;-16.8;-15;-14.2;-20.1;-7.7;0.5
48;-1.4;-16.2;-3.6;-16.8;-14.8;-14.2;-20.1;-7.7;0.5
49;-1.1;-16.2;-3.6;-16.7;-14.6;-14.2;-20.1;-7.7;0.5
50;-0.9;-16.2;-3.6;-16.7;-14.4;-14.2;-20.1;-7.7;0.5
51;-0.6;-16.2;-3.6;-16.7;-14.1;-14.1;-20.1;-7.7;0.5
52;-0.4;-16.2;-3.6;-16.7;-13.9;-14.2;-20.1;-7.7;0.5
53;-0.1;-16.2;-3.6;-16.7;-13.7;-14.1;-20.1;-7.6;0.5
54;0.1;-16.1;-3.6;-16.7;-13.3;-14.2;-20.1;-7.7;0.5
55;0.4;-16.1;-3.6;-16.7;-13.1;-14.1;-20.1;-7.7;0.5
56;0.7;-16.1;-3.6;-16.7;-12.9;-14.1;-20.1;-7.7;0.5
57;1;-16.1;-3.6;-16.7;-12.6;-14.1;-20.1;-7.6;0.5
58;1.3;-16.1;-3.5;-16.7;-12.4;-14.1;-20;-7.6;0.5
59;1.6;-16.1;-3.5;-16.7;-12.1;-14.1;-20;-7.6;0.5
60;1.8;-16.1;-3.6;-16.7;-11.9;-14.1;-20;-7.6;0.5
61;2;-16.1;-3.5;-16.7;-11.6;-14.1;-20;-7.6;0.5
62;2.3;-16.1;-3.5;-16.7;-11.4;-14.1;-20.1;-7.6;0.5
63;2.6;-16.1;-3.5;-16.7;-11.1;-14;-20;-7.7;0.5
64;2.8;-16.1;-3.5;-16.7;-10.8;-14.1;-20;-7.6;0.5
65;3.1;-16.1;-3.5;-16.6;-10.6;-14;-20;-7.6;0.5
66;3.3;-16.1;-3.5;-16.7;-10.3;-14;-20;-7.6;0.5
67;3.6;-16.1;-3.5;-16.7;-10;-14;-20;-7.6;0.5
68;3.9;-16.1;-3.5;-16.7;-9.8;-14;-20;-7.6;0.5
69;4.2;-16;-3.5;-16.6;-9.5;-14;-20;-7.6;0.5
70;4.4;-16;-3.4;-16.7;-9.2;-14;-20;-7.6;0.5
71;4.7;-16;-3.4;-16.7;-9;-14;-20;-7.6;0.5
72;4.9;-16;-3.4;-16.6;-8.8;-14;-19.9;-7.6;0.5
73;5.1;-16;-3.4;-16.6;-8.5;-14;-19.9;-7.6;0.5
74;5.4;-16;-3.4;-16.6;-8.3;-14;-20;-7.6;0.5
75;5.6;-16;-3.4;-16.6;-8;-14;-19.9;-7.6;0.5
76;5.8;-16;-3.4;-16.6;-7.7;-14;-19.9;-7.6;0.5
77;6.1;-16;-3.4;-16.6;-7.4;-13.9;-20;-7.6;0.5
78;6.4;-16;-3.4;-16.6;-7.2;-13.9;-19.9;-7.6;0.5
79;6.6;-16;-3.4;-16.6;-6.9;-14;-19.9;-7.6;0.5
80;6.8;-16;-3.4;-16.6;-6.7;-13.9;-19.9;-7.6;0.5
81;7.1;-15.9;-3.4;-16.6;-6.4;-13.9;-19.9;-7.6;0.5
82;7.2;-15.9;-3.3;-16.6;-6.2;-13.9;-19.9;-7.5;0.5
83;7.5;-16;-3.3;-16.6;-5.9;-13.9;-19.9;-7.6;0.5
84;7.7;-15.9;-3.3;-16.6;-5.7;-13.9;-19.9;-7.5;0.5
85;7.9;-15.9;-3.3;-16.6;-5.4;-13.9;-19.9;-7.5;0.5
86;8.2;-15.9;-3.3;-16.6;-5.1;-13.9;-19.9;-7.6;0.5
87;8.4;-15.9;-3.3;-16.6;-4.9;-13.9;-19.9;-7.6;0.5
88;8.6;-15.9;-3.3;-16.6;-4.6;-13.9;-19.9;-7.5;0.5
89;8.8;-15.9;-3.3;-16.6;-4.4;-13.9;-19.9;-7.6;0.5
90;9.1;-15.9;-3.3;-16.6;-4.1;-13.9;-19.9;-7.5;0.5
91;9.2;-15.9;-3.3;-16.6;-3.8;-13.9;-19.9;-7.6;0.5
92;9.5;-15.9;-3.3;-16.6;-3.6;-13.9;-19.9;-7.5;0.5
93;9.6;-15.9;-3.3;-16.6;-3.4;-13.9;-19.9;-7.5;0.5
94;9.8;-15.9;-3.3;-16.6;-3.1;-13.9;-19.9;-7.5;0.5
95;10.1;-15.9;-3.3;-16.6;-2.8;-13.9;-19.9;-7.5;0.5
96;10.3;-15.9;-3.3;-16.6;-2.6;-13.9;-19.9;-7.6;0.5
97;10.5;-15.9;-3.3;-16.6;-2.3;-13.9;-19.9;-7.5;0.5
98;10.7;-15.9;-3.3;-16.6;-2.1;-13.9;-19.9;-7.5;0.5
99;10.9;-15.9;-3.3;-16.6;-1.9;-13.9;-19.9;-7.5;0.5
100;11.1;-15.9;-3.3;-16.6;-1.6;-13.9;-19.9;-7.5;0.5
101;11.4;-15.9;-3.3;-16.6;-1.3;-13.9;-19.9;-7.5;0.5
102;11.6;-15.9;-3.3;-16.6;-1;-13.9;-19.9;-7.5;0.5
103;11.8;-15.9;-3.2;-16.6;-0.8;-13.9;-19.9;-7.6;0.5
104;11.9;-15.8;-3.3;-16.6;-0.6;-13.9;-19.9;-7.6;0.5
105;12.1;-15.8;-3.3;-16.6;-0.3;-13.9;-19.9;-7.5;0.5
106;12.3;-15.8;-3.3;-16.6;-0.1;-13.9;-19.9;-7.6;0.5
107;12.5;-15.8;-3.3;-16.6;0.1;-13.9;-19.9;-7.6;0.5
108;12.7;-15.8;-3.3;-16.6;0.3;-13.8;-19.9;-7.6;0.5
109;12.9;-15.8;-3.2;-16.6;0.6;-13.9;-19.9;-7.6;0.5
110;13.1;-15.8;-3.3;-16.6;0.8;-13.8;-19.9;-7.6;0.5
111;13.4;-15.8;-3.2;-16.6;1.1;-13.8;-19.9;-7.6;0.5
112;13.5;-15.8;-3.3;-16.6;1.3;-13.9;-19.9;-7.6;0.5
113;13.7;-15.8;-3.3;-16.6;1.6;-13.8;-19.9;-7.6;0.5
114;13.9;-15.8;-3.3;-16.6;1.8;-13.8;-19.9;-7.6;0.5
115;14;-15.8;-3.3;-16.6;2.1;-13.8;-19.9;-7.6;0.5
116;14.2;-15.8;-3.3;-16.6;2.3;-13.8;-19.9;-7.6;0.5
117;14.4;-15.8;-3.3;-16.6;2.6;-13.8;-19.9;-7.6;0.5
118;14.6;-15.8;-3.3;-16.6;2.8;-13.8;-19.9;-7.6;0.5
119;14.8;-15.8;-3.3;-16.6;3;-13.8;-19.9;-7.6;0.5
120;15;-15.8;-3.3;-16.6;3.2;-13.8;-19.9;-7.6;0.5
121;15.2;-15.8;-3.3;-16.6;3.5;-13.8;-19.9;-7.6;0.5
122;15.4;-15.8;-3.3;-16.6;3.8;-13.8;-19.9;-7.7;0.5
123;15.5;-15.8;-3.3;-16.6;4;-13.8;-19.9;-7.6;0.5
124;15.7;-15.8;-3.3;-16.6;4.2;-13.8;-19.9;-7.6;0.5
125;15.9;-15.8;-3.2;-16.7;4.4;-13.9;-19.9;-7.6;0.5
126;16.1;-15.8;-3.3;-16.7;4.7;-13.8;-19.9;-7.6;0.5
127;16.2;-15.8;-3.3;-16.6;4.9;-13.8;-19.9;-7.6;0.5
128;16.4;-15.8;-3.2;-16.7;5.2;-13.8;-19.9;-7.7;0.5
129;16.6;-15.8;-3.3;-16.6;5.3;-13.8;-19.9;-7.7;0.5
130;16.8;-15.8;-3.3;-16.6;5.6;-13.8;-19.9;-7.6;0.5
131;17;-15.8;-3.3;-16.6;5.8;-13.8;-19.9;-7.6;0.5
132;17.1;-15.8;-3.3;-16.6;6.1;-13.8;-19.9;-7.6;0.5
133;17.3;-15.8;-3.3;-16.7;6.4;-13.8;-19.9;-7.7;0.5
134;17.5;-15.8;-3.3;-16.7;6.5;-13.8;-19.9;-7.7;0.5
135;17.6;-15.8;-3.3;-16.7;6.8;-13.8;-20;-7.7;0.5
